117.38	39	0	-17.96 	0	1.87 	0	Ⅰ59											
117.07	39	0	-40.98 	0	1.68 	0	JC791											
116.91	39	0	-50.62 	0	1.73 	0	WJY口门											
117.76	39.01	0	-16.56 	0	2.08 	0	BJG深2-1											
117.05	39.01	0	-49.17 	0	1.65 	0	JC1338											
117.74	39.02	0	-7.03 	0	2.08 	0	JC1240											
117.02	39.02	0	-19.01 	0	1.65 	0	JC961											
116.95	39.02	0	-51.92 	0	1.67 	0	C133下											
116.95	39.02	0	-57.93 	0	1.67 	0	JC1006											
117.45	39.02	0	-17.25 	0	1.74 	0	海二BM1水闸											
117.45	39.02	0	-19.47 	0	1.75 	0	JC311											
116.89	39.03	0	-57.31 	0	1.67 	0	XQ048-1											
116.9	39.03	0	-48.61 	0	1.65 	0	JC1268A											
117.33	39.03	0	-7.81 	0	2.01 	0	674											
116.88	39.04	0	-73.99 	0	1.70 	0	XQ047											
117.05	39.04	0	-11.19 	0	1.59 	0	1025A-1											
117.47	39.04	0	-7.80 	0	1.73 	0	GPS20下											
117.09	39.04	0	-25.07 	0	1.64 	0	JC1382											
117.72	39.05	0	-7.10 	0	2.06 	0	JC1154-1											
117.74	39.05	0	-22.94 	0	2.07 	0	TH019											
116.87	39.06	0	-71.17 	0	1.74 	0	XQ045											
117.18	39.06	0	-0.66 	0	1.61 	0	李七庄基岩点											
117.46	39.06	0	-12.66 	0	1.70 	0	不1837											
117.73	39.06	0	-7.61 	0	2.03 	0	TG028											
117.28	39.06	0	-8.94 	0	2.12 	0	不1860											
117.3	39.06	0	-7.37 	0	2.08 	0	津柳5A											
117.5	39.07	0	-15.24 	0	1.72 	0	JC1611											
117.18	39.07	0	-13.99 	0	1.65 	0	Ⅱ314											
117.18	39.07	0	-16.73 	0	1.63 	0	Ⅰ5											
117.27	39.07	0	-9.57 	0	2.14 	0	1001-1											
116.86	39.08	0	-67.12 	0	1.78 	0	XQ043											
117.18	39.08	0	-11.00 	0	1.66 	0	不1510											
117.61	39.09	0	-5.12 	0	1.89 	0	656-1											
117.59	39.09	0	-3.46 	0	1.88 	0	C128下											
117.58	39.09	0	-3.84 	0	1.88 	0	GPS13下											
117.56	39.09	0	-9.09 	0	1.86 	0	JC1151											
117.52	39.09	0	-17.34 	0	1.78 	0	JC1618											
117.47	39.09	0	-11.11 	0	1.63 	0	DL030											
117.72	39.09	0	-19.76 	0	1.98 	0	TG026											
117.55	39.1	0	-9.37 	0	1.83 	0	TG041											
116.86	39.1	0	-70.31 	0	1.81 	0	XQ041											
116.85	39.1	0	-77.93 	0	1.80 	0	XQ042											
117.17	39.1	0	-5.83 	0	1.70 	0	NK003											
117.17	39.1	0	-9.54 	0	1.69 	0	JC1117-1											
117.66	39.11	0	-27.45 	0	1.89 	0	JC736											
117.42	39.11	0	-23.88 	0	1.57 	0	DL007											
117.17	39.11	0	-7.39 	0	1.71 	0	不2463											
117.73	39.12	0	-13.30 	0	1.95 	0	JC422											
117.73	39.12	0	-13.49 	0	1.95 	0	蓟运河闸BM1水闸											
117.73	39.12	0	-12.80 	0	1.94 	0	蓟运河闸水闸											
116.88	39.12	0	-77.35 	0	1.84 	0	XQ037											
117.17	39.12	0	-17.97 	0	1.72 	0	不2400											
117.75	39.13	0	-21.26 	0	2.02 	0	JC1433											
117.7	39.13	0	-22.36 	0	1.86 	0	C129下											
116.89	39.14	0	-86.69 	0	1.86 	0	XQ035-1											
117.18	39.14	0	-12.23 	0	1.72 	0	JC932-1											
117.72	39.15	0	-13.39 	0	1.86 	0	老建闸											
